# name flux
Lh01 0.236722291
Lh02 0.332697213
Lh03 0.594777167
Lh04 0.284221739
Lh05 0.50144136
Lh06 0.309614241
Lh07 0.822760761
Lh08 0.342617989
Lh09 0.567353308
Lh10 0.645932913
Ll01 0.151109248
Ll03 0.103599511
Ll05 0.177517712
Ll06 0.0613674298
Ll07 0.0974844024
Ll08 0.158679515
Ll09 0.147837862
Ll10 0.353915006
Lm01 0.0995358974
Lm02 0.163344994
Lm03 0.0738406479
Lm04 0.183654696
Lm05 0.104190871
Lm06 0.201626703
Lm07 0.402454019
Lm08 0.263523281
Lm09 0.24253118
Lm10 0.44099158
S01 0.0751578659
S02 0.028581392
S03 0.152063936
S04 0.0628216565
S05 0.174288481
S06 0.112904117
S07 0.155170918
S08 0.0690230802
S09 0.206649378
S10 0.264712214
