name rest_frequency color
HC15N 344.2003199 red
34SO2 344.2453476 green
SO 344.310612 orange
CH3OCH3 344.3580659 green
CH3OH 344.443433 green
CH3OCH3 344.5153801 green
34SO2 344.581045 green
34SO2 344.8079157 green
t-HCOOH 345.030561 green
SO2 345.3385391 orange
CO 345.7959899 red
CH3OH 346.202719 green
SO 346.528481 orange
SO2 346.6521672 red
t-HCOOH 346.718858 green
H13CO+ 346.998344 green
SiO 347.330631 orange
HCO+ 356.734223 orange
SO2 356.7551893 red
34SO2 357.1021822 green
SO2 357.16536 red
SO2 357.24119 red
SO2 357.38757 red
CH3OCH3 357.4602017 green
SO2 357.5814483 red
SO2 357.67178 red
SO2 357.892442 red
SO2 357.92596 red
SO2 357.96289 red
SO2 358.01309 red
SO2 358.03808 red
SO2 358.21564 red
CH3OCH3 358.4519426 green
CH3OH 358.605799 green
34SO2 358.9879745 green
SO2 359.7706815 red
